question	answer
ơ l	ơ i
n b ư ờ j	n g ư ờ i
d a	đ a
h u a	m u a
3 t	e t
t n ẻ	t h ẻ
x ă n q	x ă n g
c ô t	c ố t
c i a	c i a
n h ơ r	n h ở
4 c	á c
x ấ u	c ấ u
p h a	p h í a
b ạ q	b ạ n
n g ự c	n g ự c
r i v l i n	r i v l i n
y ê n	y ê n
p h ì	p h ì
n h a h	n h a u
n h i ệ g	n h i ệ m
y ỷ	t ỷ
h o ặ x	h o ặ c
l a n h	l ã n h
m ự	m ự c
g i ề	g i ề
b u a n g	b u a n g
n q h j ệ 0	n g h i ệ p
k ô	k h ô
c â s m	c ấ m
d ự q q	d ự n g
b u s	b u s
t h u c	t h ú c
b ấ g	b ấ y
r ồ i	r õ
t i ê u	t i ê u
n n q	l o g
t i ệ u	t h i ệ u
t h u ô s c	t h u ố c
t j ô n	t h ô n
t á k	t á i
c h u y ể n	l ấ y
m ộ y	m ộ t
đ a p	đ á p
c á c u	c á c h
k 4 c k 3	h a c k e r
p h a t	p h á t
1 5 k	1 5 k
k u o a n g	k h o a n g
s h i ế c	c h i ế c
d â h	d â n
o ý	l ý
b a j c h	b ạ c h
n q ự	n g ự
n h ă n g	n h ă n g
b k ổ i	b u ổ i
p h ạ r	p h ạ t
t h o a s t	t h o á t
f i t m i n o	f i r m i n o
q h á	q u á
h ộ t	m ộ t
k j j	k h i
k à j	b à i
k j ể u	b i ể u
đ é o	k é o
đ ậ n	đ ậ n
đ ừ n g	c h o
h a	h a y
p h i s a	p h í a
đ ô j	đ ố i
s 3 x	s ẽ
c y b e r p o t	c y b e r p o r t
l ự	l ự c
t ớ u	t ớ i
c u ọ n	c h ọ n
d 0 c u m 3 b t	d o c u m e n t
n 0	l a o
m ì g h	m ì n h
c ù n n	c ù n g
l í t	l í t
t i c h	t ị c h
t h u ầ n	t h u ầ n
t m a m	t h a m
c h j n 3	c h i l e
d ụ n q	d ụ n g
d d ề u	đ ề u
n ô j j	n ộ i
q u c	q u ố c
t 4 b n 3	t a b l e
ồ n q	đ ồ n g
s e r i e	s e r i e
l e a g e u e	l e a g e u e
t i x n h	t ĩ n h
g ò n	g ò n
s ậ m	s ậ m
p h u c	p h ú c
b i ê n	b i ể n
ữ a	n ữ a
s i ấ t	s u ấ t
k ê n	k i ê n
t q ư ờ n f	t r ư ờ n g
d ậ j	d ậ y
x o m	x ó m
h ó m	h ó m
p h i ê j	p h i ê n
t h â b	t h â n
o j o	m o j o
n à	l à m
q u g	q u y
s ô n q	s ố n g
q ử a	s ử a
đ 0 n	đ ơ n
a l e x a n d e r	a l e x a n d e r
n g u y ễ n n h u	n g u y ễ n n h u
c 4 b	c a m
m j x	m i x
j ọ i	m ọ i
q j ả j	g i ả i
k j ê m	k i ệ m
c 0 1	c 0 1
s n g	s o n g
b ó m g	b ó n g
w a g s	w a r s
m 4 w n q	m ă n g
t h ấ	t h ấ y
l ậ o	l ậ p
w u y ể n	q u y ể n
c h u ỵ	c h ị
đ ó n b	đ ó n g
v à	v à o
p h á f	p h á t
x m	x e m
đ ô j n f	đ ộ n g
c b ư ơ n g	c h ư ơ n g
l ú x	l ú c
x h i ế m	c h i ế m
k í m	k i ế m
x ú m	x ú m
a k s s i e	a u s s i e
b ỗ	v ỗ
s a s n	s á n
u n i v e r s a k	u n i v e r s a l
c o u p l e	c o u p l e
t ệ t	h ệ t
t r á i	t r á i
b 1	b 1
h a r m o n y	h a r m o n y
q u 4 r d j 0 n 4	g u a r d i o l a
u n i e r s a l	u n i v e r s a l
s c h u m e r	s c h u m e r
b ọ n q	v ọ n g
v t h k c c	v t h k c c
k í n g	k í n h
c u n q	c ũ n g
d o r o t h y	d o r o t h y
t k y	t u y
c h í h h	c h í n h
s ố	s ố c
x ủ 4	c ủ a
n n 4 u	n h a u
p o ạ n	l o ạ n
c h n g	c h u n g
l ư j c	l ự c
o à n	h o à n
k h ô g	k h ô n g
đ a j	đ a u
t i	t ú i
n m ó m	n h ó m
w 4 j t	w a l t
s o k	s o k
m y t v	m y t v
t ơ i	t ớ i
v é i o n	v é i o n
ộ t	l ộ t
n q à q	n g à y
4 y	v a y
d ạ n	đ ạ n
e m	x e m
k m ớ p	k h ớ p
ấ y	m ấ y
k 0 4	h ó a
j w	j w
y h ờ i	t h ờ i
g g u y	n g u y
b u ộ	b u ộ c
n à n g	h à n g
j ã y	h ã y
q r 3 n w 0 0 d	g r e e n w o o d
s a m r i n	s a m r i n
n o v a w o r l d	n o v a w o r l d
s z n a t e c h	s a n a t e c h
m í	m ấ y
h ở	p h ở
t r w ợ t	t r ư ợ t
đ à j	đ à m
n g ộ t	n g ộ t
c u ố c	c u ố c
m u ớ p	m ư ớ p
c r e d i t	c r e d i t
s ẽ	s ẽ
k h ẳ n g	k h ẳ n g
y ê j	y ê u
u y e n	u y e n
h h á i	t h á i
t ầ	t ầ m
c h j m	c h i m
j 0 n	j o n
l â f n	l ầ n
x u a n	x u â n
n ơ j	n ơ i
v â	v â
o n l o a d	o n l o a d
h ô n	h ỗ n
n ê q	n ê n
q u a	q u a
p j ư ớ c	p h ư ớ c
a d v e r i s e s	a d v e r t i s e s
x h ắ c	c h ắ c
w ứ c	s ứ c
n q à	n g à y
k h í c y	k h í c h
h ò n g	p h ò n g
b o l z o r a n o	b o l s o r a n o
t e m	t e m
c ư ờ j	c ư ờ i
t r ố i	t r ố i
c u r	c ủ
t h i ệ p	t h i ệ p
c ề	v ề
g h ẻ	g h ẻ
n ớ t	n ớ t
r u ộ t	r u ộ t
e p	é p
q á n	t á n
v l ệ c	v i ệ c
c u u y ê n	c h u y ê n
u h o á c	k h o á c
n ư ớ c	h o a
d ắ t	đ ắ t
m ạ o	m ạ i
n h j	n h i
n q ư ơ f j	n g ư ờ i
l k a d	l o a d
t b ô n g	t h ô n g
b 0 n 3	b o l e
r ạ n g	r ạ n g
l u ồ n	l u ồ n
t w	t ư
k ề u	k i ề u
s w a	s ư a
m h i ê n	n h i ê n
t e ạ n g	t r ạ n g
n g ề	n g h ề
p a n	l a n
l ắ k	l ắ k
0 n d	o l d
t g ọ n g	t r ọ n g
v j	v i
i ô n g	l ô n g
t u y ệ	t u y ệ t
3 t h j 0 p j 4	e t h i o p i a
t r ợ	t r ợ
x é m	x é m
z a	d a
n j ệ m	n i ệ m
s ừ n q	s ừ n g
n h ô i	n g ô i
f u l l h d	f u l l h d
a c c o u n t	a c c o u n t
h o n g	h o n g
g i á o	g i á o
đ â u	đ ấ u
n 4 n	n a m
y o n	y o o n
t ĩ n j	t ĩ n h
t h i ê s u	t h i ế u
c 0 0 n q	c ô n g
h à b g	h à n g
i n s t z g r a m	i n s t a g r a m
t n ư ợ n g	t h ư ợ n g
n g h i	n g h ĩ
p ồ	l ồ
h i ế m	c h i ế m
v 4 n	v ă n
t r j ể n	t r i ể n
m ô i	m ỗ i
t y m o w h e n k o	t y m o s h e n k o
t ư ơ q	t ư ơ n g
c ộ n h	c ộ n g
j ấ t	m ấ t
t r c h	t r á c h
d z n h	d a n h
t h 0 n q	t h ô n g
n j	n ộ i
t h 4 r j	t h ả i
f ố	t ố
s ó n q	s ó n g
r í n h	t í n h
đ ắ t	đ ắ t
t h u e	t h u ê
t r ắ n q	t r ắ n g
n ư ớ c	c ủ a
n n u y ễ n	n g u y ễ n
j ừ n g	m ừ n g
n ồ j	n ồ i
n q â n	n g â n
đ q u	đ a u
d o a h	d o a n h
h a i	h a i
d i ệ n	d i ệ n
m h ỏ	n h ỏ
o n g	m o n g
t ạ m	t ạ m
v i v o	v i v o
m é o	đ é o
t h ứ f	t h ứ c
g á n	g i á n
c ô x	c ỗ
c h u ộ t	c h u ộ t
b ắ f	b ắ t
a q u x r i u s	a q u a r i u s
u o à n	h o à n
k u m	k i m
t h u s c	t h ú c
n h a	n h a n
v h à n g	c h à n g
r à k	r à o
c u g	c u n g
k u ố i	k h ố i
d ù n	d ù m
v a h g	v a n g
c y ó n q	c h ó n g
j e d r y r i g e v e r y t h i n g	j e r r y r i g e v e r y t h i n g
b a i	b a i
l o ã n g	l o ã n g
t ố	t ố
k h o á n g	k h o á n g
f à y	b à y
l u y ê n	l u y ê n
d ụ h q	d ụ n g
t g ầ u	t h ầ u
c u ộ d	c u ộ c
k i e e n	k i ê n
y a d a v a r a n	y a d a v a r a n
v i a	v i a
c ô n g t r ê n	c ô n g t r ê n
c o e	c ơ
n ù n q	h ù n g
n ư n q	l ư n g
t h ằ n	t h ằ n
m ã	b ã
x ấ m	c ấ m
t ă n h	t ă n g
3 0 k	3 0 k
r ù 4	r ù a
y ợ p	h ợ p
j ọ p	h ọ p
d ạ u	d ạ y
d i ê n	d i ệ n
g ắ n n	g ắ n g
t ư ợ n g	t ư ợ n g
c h 3 c k 3 d	c h e c k e d
t ừ n m	t ừ n g
k n	k í n
q t v t	g t v t
s ư ơ n	s ư ờ n
k o m s o b o l e t s	k o m s o m o l e t s
c h ồ i	c h ồ i
l ờ u	l ờ i
l y ậ t	l u ậ t
t r 4 n q	t r a n g
n à g	n à y
s o a n h	d o a n h
t h i s c h	t h í c h
t r ộ	t r ộ n
q á n h	đ á n h
g ả n	g i ả n
n g u g ễ n	n g u y ễ n
s i ố t	s u ố t
b ậ y	v ậ y
q j á m	g i á m
o l i	o l i
c o y	c o y
f h ạ m	c h ạ m
y e a r	y e a r
d h j p	c h i p
t u ể	t h ể
h i ế u	t h i ế u
t t i	t h i
d o	s o
l h é p	p h é p
c ố n q	c h ố n g
n ứ t	n ứ t
c à	v à
g ã n g	m ã n g
q j a n	q u a n
t h i t	t h ị t
ộ j	đ ộ i
g h a y	t h a y
4 j 4 x 4 c t j 0 q	a j a x a c t i o n
h ư ớ n g	h ư ớ n g
m ị	b ị
t h ư ơ h g	t h ư ơ n g
n u ợ n q	l ư ợ n g
k h ó a	k h ó a
g n o m e s	g n o m e s
h é c	h é c
t h a	t h a y
s h ờ	c h ờ
v ỏ	h ô m
g e t t g i m a g e s	g e t t y i m a g e s
b ơ r i	b ở i
t p y o t a	t o y o t a
k o y	k o y
t h o i i	t h ô i
h o i	h ơ i
r e s i z e n e d s i m a g e	r e s i z e n e w s i m a g e
c u h g	c u n g
l ă n b	l ă n g
h l ạ c h	h o ạ c h
l ò h g	l ò n g
b ừ n g	b ừ n g
q ả j	g i ả i
n a g	n a m
v ư f 4	v ừ a
n g i ạ i	n g o ạ i
x u n q	x u ố n g
t t ị	t r ị
n q ố c	n g ố c
k i b g	k i n g
t r ư ở n t	t r ư ở n g
ư ớ t	ư ớ t
m ạ u	m ạ i
k ỏ	b ỏ
g o ạ i	h o ạ i
o h é p	p h é p
s a a u	s â u
v é	v é
đ ú n g	đ ú n g
c à g	c à n g
m y l y	m y l y
n 4 w m	n ă m
h i ệ i	h i ệ u
i s p l a y	d i s p l a y
á h	á n h
s 0 n s k j 4 3 r	s o l s k j a e r
g ậ y	v ậ y
p h ỏ g	p h ỏ n g
p y â n	p h â n
d 4 3 x h u k j 3	d a e c h u k j e
p h ư o n g	p h ư ơ n g
t r	t r a
n 0 w j	n ơ i
g a m	n a m
p h n g	p h ò n g
t à k	t à i
x h u y ê n	c h u y ê n
đ á n h	đ á n h
n ì n h	m ì n h
a l i c e	a l i c e
y ứ c	t ứ c
n g u y e n v i e t	n g u y e n v i e t
k y	h y
a l l i s o n	a l l i s o n
i n d o n e d i a	i n d o n e s i a
t ì n h	h ì n h
t í d h	t í c h
n g h l ệ p	n g h i ệ p
t 4	t a y
c ả n m	c ả n h
w h y	w h y
đ ộ l	đ ộ i
q u a f	q u à
r ộ j q	r ộ n g
b u ô b	b u ô n
n h ậ r	n h ậ t
d u h q	d u n g
o l e g	o l e g
u ố i	h ố i
g h e o	t h e o
t r ở	t r ở
t r ỗ i	t r ỗ i
v e a m	v e a m
p m	p m
0 n	o n e
t h ố n t	t h ố n g
x à j	d à i
j n n u t	i n p u t
c h p	c u p
d í	v í
k h j ê n	k h i ế n
c h i ế f	c h i ế c
4 m 3 r j c 4 n	a m e r i c a n
ư ớ n q	v ư ớ n g
h u y ê n	k h u y ê n
h o á t	t h o á t
b h ư	n h ư
t r ị h h	t r ị n h
đ ì h h	đ ì n h
0 n q	m o n g
i ấ c	g i ấ c
m o s k v a	m o s k v a
q j 4 b	g i a n
h i g h w a y	h i g h w a y
n ờ	n h ỉ
t i a	g i a
r i	r i
t ầ m	t ầ m
r e o	r e o
n g u m	n g ụ m
t h á b q	t h á n g
f i ế t	b i ế t
b ầ	b ầ u
d ề	v ề
q ê	q u ê
p h ả g	p h ả n
c ấ	c ấ m
c h â t	c h ấ t
d p e f i f i e d	s p e c i f i e d
m i n h	m ì n h
k ê u	k ê u
s u z j k i	s u z u k i
d a	r a
l ó t	l ó t
d o n a k d	d o n a l d
r ọ n g	t r ọ n g
c a p	c a o
f á n	c á n
r o m a	r o m a
q h ó m	n h ó m
v ư ợ x	v ư ợ c
b ệ g h	b ệ n h
j 4 c k	j a c k
l o ê n	l i ê n
x ả j	x ả y
0 h 3 0	k h e o
s 4 m u 3 n	s a m u e l
d u y ê h	d u y ê n
t ĩ n n	t ĩ n h
t g à n h	t h à n h
n r â n	n g â n
đ a j i	đ ạ i
i d i t	i d i o t
y o g a	y o g a
p h í c h	p h í c h
n i x í u	n i x í u
f 4 n p 4 q 3	f a n p a g e
đ ả h g	đ ả n g
j h ắ p	k h ắ p
đ â j	đ â y
t t ố n g	t h ố n g
w a i t i n g	w a i t i n g
z 5 x	z 5 x
h ú n g	c h ú n g
a g e n c y	a g e n c y
d r c	d e c
t ư ợ n n	t ư ợ n g
v j ế n q	v i ế n g
d ố n q	đ ố n g
đ a s n h	đ á n h
b a s o	b á o
ư ơ n r	ư ơ n g
g ư n g	g ừ n g
v o ệ n	v i ệ n
b j n n	b i n h
p h ồ n	p h ồ n
t ả i	t ả i
q u ê	q u ê
a d v o l	a d v o l
h n	h ơ n
ở i	b ở i
e n g	e n g
d i ệ u	d i ệ u
n ó i	đ ế n
b i	b ở i
k ó c	h ó c
k 0 à n	h o à n
n ư ơ j n q	l ư ợ n g
h ô	h ô m
p h 4 s	p h á
d ữ	d ữ
c ậ	c h ậ u
t ả n	t ả n
t u j ê n	t u y ê n
m à	m ã
u h j	k h i
h à p h a m t h i	h à p h a m t h i
r u v e n	r e u v e n
h ơ g	h ơ n
c ả n n	c ả n h
a l	a l
t ố n g	t h ố n g
d ị	d ị p
x ủ w	c ủ a
x ỉ	x ỉ
n g u u ễ n	n g u y ễ n
đ ờ	đ ờ i
k t ô n g	k h ô n g
p ầ n	p h ầ n
b ó j q	b ó n g
b ệ n t	b ệ n h
đ m t a m	đ m t a m
m i m a	m i m a
b á u	b á u
n g ạ c u	n g ạ c h
r ì a	r ì a
k h á c h	k h á c h
d 0 4 q h	d o a n h
b h i ề u	n h i ề u
l a a m	l â m
t í n	t í n
g i a d i n h n e t	g i a d i n h n e t
t ư ơ h	t ư ơ m
q u 4 4 n	q u â n
q u 4	q u a n
h ì b h	h ì n h
t o á	q u á
f e r g u s o n	f e r g u s o n
a l a b a	a l a b a
ấ t	r ấ t
l i ê n	l i ê n
d o a h h	d o a n h
k h á v	k h á c
t r ư ờ n	t r ư ờ n g
l ă s m	l ắ m
x ư ờ n g	c ư ờ n g
e s t	e s t
m u o n	m u ố n
t h j ê s t	t h i ế t
t k ổ i	t u ổ i
n h ắ h	n h ắ n
c q u y ể n	c h u y ể n
t r o n g	t r o n g
v e g a s	v e g a s
d 4 3 c h u k j 3	d a e c h u k j e
h 2	m 2
t j n h	t ì n h
n 4 y 4 n j 3	n a t a l i e
t u t	t u y
n h â n	n h ư
q j ấ u	g i ấ u
c g ứ c	c h ứ c
t à n	t à i
t u n q	t u n g
v y a c h e s l a v	v y a c h e s l a v
s ế n	s ế n
q 0 n d	g o l d
s t e g e n	s t e g e n
đ a k	đ a u
p h e n	p h e n
t j e o	t h e o
m i ế n g	m i ế n g
g h ì	t h ì
t h ố i	t h ố i
t w e e t	t w e e t
n 3 4 q u 3	l e a g u e
i i ế n	k i ế n
n g h ồ n	n g u ồ n
ú i	t ú i
b q ợ p	n g ợ p
k h o r e	k h ỏ e
t q t t	t g t t
t h ú f	t h ú c
c h a n h	t h ậ p
n y ư n g	n h ư n g
p h z n h	p h a n h
e ợ	s ợ
s 0 á t	s o á t
s 3 r j 3 w	s e r i e s
n h ư ờ n g	n h ư ờ n g
g i ầ y	g i ầ y
t u ấ n	t u ấ n
v i e n t i a n e	v i e n t i a n e
m 4 n 4 y s j 4	m a l a y s i a
r 4	r a
c é	v é
k h j ễ m	n h i ễ m
c l u b	c l u b
a b s o l u t e	a b s o l u t e
a u d i o	a u d i o
x u â n	x u â n
f f 4 3 2 1	f f 4 3 2 1
c ử a	c ử a
c o n o r	c o n o r
k i e u	k i e u
k ô	h ộ
t r ă n g	t r ắ n g
h p ạ c h	h o ạ c h
v ậ y	v ớ i
c ầ u	x i n
d 0 n 4 n d	d o n a l d
f h ă m	t h ă m
n ô j	n ô i
c h j u	c h ị u
v i ế g	v i ế t
p h ú t	p
n ú c	n ú c
c h e v e o l e t	c h e v r o l e t
t h ư ơ m q	t h ư ơ n g
t o k	t o k
t t ă n g	t h ă n g
n i á	g i á
s u ố h	s u ố t
e n e r t a i n m e n y	e n t e r t a i n m e n t
t e n	t ê n
l ờ o	l ờ i
b ư ớ c	b ư ớ c
f h u ẩ n	c h u ẩ n
d à m	đ à m
x ữ	d ữ
t r j	t r ị
v i a	g i a
n i l c	n i l c
x u ấ f	x u ấ t
n g ư ờ l	n g ư ờ i
c n ă m	c h ă m
n ư ờ n q	l ư ờ n g
h n g	h ù n g
r h ờ j	t h ờ i
n y u	n h u
o v e r s i z s d	o v e r s i z e d
c 0 h	c o n
t r ắ q	t r ắ n g
k j ế c	c h i ế c
q u s	q u a
g n g	g ắ n g
h ã o	b ã o
h i n g	h o n g
k h e	k h ẽ
c a p u t o	c a p u t o
r i ả	g i ả
g ắ m	g ắ m
k ê n h	h ê n h
n w w s	n e w s
m ì q h	m ì n h
f h u y ệ n	c h u y ệ n
c ấ	c ấ p
h ắ n	h ắ n
t h ư ợ n v	t h ư ợ n g
t ụ i	t ụ i
n ó i	n ư ớ c
m ư ơ i	m ư ơ i
c a r l e s	c a r l e s
h s 7 0	h s 7 0
i á i	l á i
b z h r a i n	b a h r a i n
đ ạ o	đ ạ o
j e n n i e	j e n n i e
t u a b k n	t u a b i n
l ạ l	l ạ i
d ặ n	d ặ n
q j ớ j	g i ớ i
t ă n t	t ă n g
c h ơ n g	c h ư ơ n g
j à 0	n à o
a d e v e n t l i s t e n e r	a d d e v e n t l i s t e n e r
l ộ l	l ộ i
n q h j 3 m	n g h i ê m
p h ú h	p h ú t
c â h	c â n
w a u	s a u
d z ậ y	v ậ y
b e	b é
t m u ộ c	t h u ộ c
t h ư a	t h ừ a
s h ủ	c h ủ
l ố	l ố
k 0 ạ	h o ạ t
b ó n n	b ó n g
t r u n g	t r ư n g
q k á n	q u á n
n r h i ê n	n g h i ê n
n 4	l a o
v ư ợ	v ư ợ t
t r u y ề	t r u y ề n
à m	l à m
s e n t i n e l	s e n t i n e l
đ á h	đ á n h
v ụ n g	d ụ n g
k ậ	h ậ u
r a n	r a n
v d d	d d d
đ ế b	đ ế n
x x n h	x a n h
c n h a i	c h h a i
b o l o r a n o	b o l s o r a n o
t b à n h	t h à n h
n q 4 y	n g a y
t h ị	t h ị t
t j ề m	t i ề m
p j ê n	l i ê n
j h ậ n	n h ậ n
u h	u h
d ự	d ự
d n n n	d n n n
đ n ề u	đ i ề u
c r y t a l	c r y t a l
s ố t	s ố t
t đ	t đ
b 3 n n 4	b e l l a
t p à n	t o à n
h o ạ y	h o ạ t
x ê p	x ế p
n i ê n	n h i ê n
n ú l	n ú p
d o u m e	d o u m e
v ả	c ả
t u g ế n	t u y ế n
i i m	k i m
b j d v	b i d v
h ớ n g	h ư ớ n g
m ứ	m ứ c
ố d	ố c
x á 0	x á o
g a s n	g á n
q j ả 0	g i ả i
n g u o i	n g ư ờ i
k h i ả n g	k h o ả n g
n g j y ê n	n g u y ê n
k h 4	k h á
đ e o	đ è o
c ậ	c ậ n
f ể	b ể
w u ậ n	q u ậ n
h e i	h e o
a m a o n	a m a z o n
n g à n h	n g à n h
n u y	n g u y
t u ư ờ n g	t h ư ờ n g
r j f h i e	r i c h i e
c j t 4 s t y d 0 0 d	c i t a s t y f o o d
x t o p o t h e r o p l a y	s t o p o t h e r o n p l a y
m j ế t	b i ế t
l ạ u	l ạ i
v ị c h	d ị c h
3 u r	e u r
c h r u s t i a n	c h r i s t i a n
v j v 0	v i v o
c u a	c h a
v u ệ c	v i ệ c
t r ị	t r ị
c a m r y	c a m r y
h ầ n	h ầ m
đ j ể m	đ i ể m
p o c	p o c
đ à 0	đ à o
t r ă m	t r ă m
n d	n d
k ẽ	k ẽ
b á t	b á t
t i h	t i n
n u ỵ c h	h u ỵ c h
c a m p u s h i a	c a m p u c h i a
t h ừ n v	t h ừ n g
n ẩ n	l ẩ n
đ i ể j	đ i ể n
h ắ t	b ắ t
t e l	t e l
r ư ợ h	r ư ợ u
g k ọ n g	g i ọ n g
p h ư c	p h ứ c
v ặ p	g ặ p
f j ả j	g i ả i
p h ư ớ c	p h ư ớ c
l e	l e
đ s	đ a
h á y	m á y
t r c c c c	t r ư ớ c
ẩ m	ẩ m
c a t p	c a t p
s a d	s a d
a t h l w t i c	a t h l e t i c
t i m e	t i m e
n e a n y a h u	n e t a n y a h u
p i z z	p i z z a
g o l f	g o l f
t h j ộ c	t h u ộ c
u à n q	h à n g
q u y e e n	q u y ê n
h j n h	h ì n h
n q h ồ n	n g u ồ n
k y á c	k h á c
h ữ	n ữ
t g ú n g	t r ú n g
a r y a	a r y a
q j f q	g i f t
r r a c k i n g	t r a c k i n g
s a m s u n g	h a y
j d 3 4 p 4 d	i d e a p a d
d n g	d ù n g
d a t e	d a t e
v ự x	v ự c
h h ư	n h ư
t h ị	t h ị
s p i d e r	s p i d e r
m t	m ộ t
e o	e o
đ ồ n f	đ ồ n g
b a d c e l o n a	b a r c e l o n a
d ậ u	d ậ u
f o o d	f o o d
t 4 n	t a n
m a i	h a i
n g o i	n g o à i
m a s a n	m a s a n
d ậ p	đ ậ p
y ế k	y ế u
t h u ậ r	t h u ậ t
c 4 0	c a o
k h i	k h ố i
d a v e	d a v e
c ủ n g	c ũ n g
c y i ế c	c h i ế c
n h ư ờ n t	n h ư ờ n g
d d e v e n t l i s t e n e r	a d d e v e n t l i s t e n e r
t h 4 n u	t h a n h
t ă s m	t ắ m
s ỡ	d ỡ
s h ú c	c h ú c
h a r o l d	h a r o l d
p h ò g	p h ò n g
a ư a	s ư a
đ ư ờ n m	đ ư ờ n g
n b h i ệ p	n g h i ệ p
t r a c i n g	t r a c k i n g
s u i c i d e	s u i c i d e
đ ề h	đ ề u
t e a m	t e a m
p r 0 t 3 j n	p r o t e i n
c o	c a o
k z r i m	k a r i m
t t 4	t r a
t r ừ n q	t r ừ n g
r è n	r è n
l u c	l ụ c
h ạ j	h ạ n
l ư ợ n	l ư ợ n g
q j ệ c	v i ệ c
c h y n	c h u y ệ n
t u y ê t	t u y ệ t
d ẫ u	d ẫ u
k ộ p	h ộ p
b u ế g	b i ế n
t h ả n h	t h ả n h
l ô m	l ô m
k i m n g â n	k i m n g â n
t ộ t	t ộ t
h ạ n	b ạ n
i p 6 s	i p 6 s
z â u	s â u
h é o	h é o
t ỷ	t ỷ
t h á p	t h á p
l ẹ	l ẹ
p b ư ơ n g	p h ư ơ n g
n h u n q	n h u n g
v i e t n a m o b i l e	v i e t n a m o b i l e
f o r b e s	f o r b e s
x e n	x e m
g i a n g	g i ả n g
u ộ	h ộ
p h o n e	p h o n e
k r ọ n q	t r ọ n g
b a o	b á o
v i e n	v i ê n
c h ặ n	c h ặ n
c h i	c h u i
h u ô n g	c h u ô n g
t u j	t u y
t r i ề j	t r i ề u
n h a h	n h a n h
g ă n	v ă n
h i ê u	h i ệ u
l ọ t	l ọ t
j ồ i	h ồ i
t ị f h	t ị c h
h o ạ f h	h o ạ c h
m ẩ u	m ẩ u
s t o r m i	s t o r m i
d ạ	d ạ
b ỗ n g	b ỗ n g
q u a l c o m m	q u a l c o m m
t h ơ n g	t h ư ơ n g
n g o a i	n g o à i
w ò n g	d ò n g
c j u y ê n	c h u y ê n
đ ọ v	đ ọ c
m i ế t	b i ế t
m u n g	n u n g
n h ê n	n h i ê n
đ ô j g	đ ô n g
v 4 n u 3	v a l u e
d h i ế c	c h i ế c
t h	t h ể
k t ẩ u	k h ẩ u
h u ệ n	h i ệ n
t a h	t a y
k h á j	t h á i
y r ạ n g	t r ạ n g
c h i p i	c h i p i
t h ư ờ g	t h ư ờ n g
đ ậ u	đ ậ u
ê n	b ê n
c h ở	c h ở
t u s c	t ú c
t o y o t a	t o y o t a
m ã n	m ã n
đ ị a	đ ị a
k u r c k	k u r c k
h u w e i i	h u w e i i
v g c	v g c
t f ấ n	t r ấ n
4 n n 3 n 3	a n l e n e
l u u ệ n	l u y ệ n
t n g	t ừ n g
d d á	đ á
s a s n g	s á n g
s ạ o	c ạ o
n g y y ê n	n g u y ê n
í c h	t í c h
ê u	n ê u
q 4	q 4
v ử a	c ử a
q ũ j	g ũ i
m e x i c k	m e x i c o
j à n h	h à n h
q q ợ j	n g ợ i
đ ẹ p	đ ẹ p
d e a c o n	d e a c o n
t q ư ở n q	t h ư ở n g
k h í x h	k h í c h
d w ỡ n q	d ư ỡ n g
t ạ l	t ạ i
t ì m	m ọ i
c o c o	c o c o
k t a i	k h a i
e i	d i
k h a s i	k h á i
h t v	h t v
e o	ẻ o
d ị d h	d ị c h
4 r	a r e
k h ỏ u	k h ỏ i
c â m	c ầ m
t ư ơ j n g	t ư ợ n g
h k ệ u	h i ệ u
q u t ế t	q u y ế t
j u s t i c e	j u s t i c e
n m	n m
h u y ế n	c h u y ế n
t r ư ở n h	t r ư ở n g
c l e x r i n t e r v a l	c l e a r i n t e r v a l
c o s m e t i c	c o s m e t i c
n g á t	n g á t
n j ê j m	n i ệ m
n h i ê u	n ó
d à g g	d à n g
h u y h h	h u y n h
t r i f n h	t r ì n h
n ằ	n ằ m
b r u n 0	b r u n o
h ú t	h ú t
h ứ n g	h ứ n g
x 3 h	x e m
r ắ n g	t r ắ n g
s a m o l	s a m o l
h g ư c	n g ư ợ c
c 0	c ó
k i n t	k i n h
h a p p y	h a p p y
k k k k k k k	k k k k k k k
ắ t	g ắ t
n h a t	n h ấ t
đ ồ g	đ ồ n
r o w i	r ơ i
d a n h	x a n h
đ o a f n	đ o à n
n ổ o	n ổ i
i á o	g i á o
t r ô n g	t r ô n g
n g ự a	n g ự a
b ù	b ù n
k í c h	k í c h
g r a o	t r a o
n u ô o	n u ô i
l i n	l i n h
g u ố n g	g i ố n g
p m ụ	p h ụ
g i q o	g i a o
t 3 ò	t r ò
d â x u	d ẫ u
t u ở n	t ư ở n
t u a n h	t h a n h
ô h	ô m
b o m b	b o m b
m b a p p w	m b a p p e
m u a n g t j o n g	m u a n g t h o n g
c n	c á n
t o f a	t ò a
g h a n a	g h a n a
s u b	s u b
q u 4 q	q u a n g
đ ấ h	đ ấ t
b e w s t	b e a s t
b ó n v	b ó n g
o ư ợ t	l ư ợ t
c h y ê n	c h u y ê n
v i ế h g	v i ế n g
l ư ợ m	l ư ợ n
c u ố	c u ố i
t r ả	t r ả
q a n	q u a n
b r i s t l e f r o n t s	b r i s t l e f r o n t s
m a t c h	m a t c h
d o w n n g	d o w n i n g
c p i p	c l i p
p h 0 n q	p h o n g
t r ư n q	t r ừ n g
n 3 n	n ê n
c n ồ n g	c h ồ n g
p h u f	p h ù
w a r	w a r
t ề m	t i ề m
x ó t	x ó t
